,Date,SPX Open Price,SPX Volume,NYT VS (Day_Lag=-1),WSJ VS (Day_Lag=-1),CNN VS (Day_Lag=-1)
0,2018-06-05,2748.46,3517790000,0.0855,0.1159,0.2353
1,2018-06-08,2765.8401,3123210000,0.0813,0.2277,-0.068
2,2018-06-13,2787.9399,3779230000,0.0715,0.1921,0.3059
3,2018-06-14,2783.21,3526890000,0.0293,0.2882,0.1673
4,2018-06-15,2777.78,5428790000,-0.0544,0.0503,0.1037
5,2018-06-21,2769.28,3300060000,0.1894,0.0204,-0.1629
6,2018-06-22,2760.79,5450550000,-0.0513,0.2048,-0.0906
7,2018-06-28,2698.6899,3428140000,0.0695,0.3503,0.2119
8,2018-07-02,2704.95,3073650000,0.14,0.2349,0.2747
9,2018-07-06,2737.6799,2554780000,-0.0155,0.1897,0.0362
10,2018-07-11,2779.8201,2964740000,0.0,0.1393,-0.0787
11,2018-07-12,2783.1399,2821690000,-0.0499,0.1004,-0.1442
12,2018-07-16,2797.3601,2812230000,-0.1275,0.0248,-0.4019
13,2018-07-17,2789.3401,3050730000,-0.1231,0.0435,0.149
14,2018-07-19,2809.3701,3266700000,-0.224,0.3283,-0.0456
15,2018-07-25,2817.73,3553010000,-0.0074,0.1541,0.0677
16,2018-07-27,2842.3501,3415710000,0.1468,0.2923,0.0595
17,2018-07-31,2809.73,3892100000,-0.3157,-0.0756,-0.065
18,2018-08-01,2821.1699,3496990000,0.2864,0.093,0.0555
19,2018-08-03,2829.6201,3030390000,0.1399,0.2,0.0389
20,2018-08-06,2840.29,2874540000,-0.128,0.0153,0.4939
21,2018-08-07,2855.9199,3162770000,-0.1456,0.212,-0.3055
22,2018-08-09,2857.1899,3047050000,0.2243,0.0948,-0.037
23,2018-08-10,2838.8999,3256040000,0.1589,0.0231,0.1998
24,2018-08-14,2827.8799,2976970000,0.1654,0.0225,-0.1017
25,2018-08-15,2827.95,3645070000,-0.0453,0.0297,-0.0009
26,2018-08-16,2831.4399,3219880000,0.2382,0.0879,0.2948
27,2018-08-21,2861.51,3147140000,0.1516,0.015,0.4447
28,2018-08-22,2860.99,2689560000,0.0862,0.1292,0.4258
29,2018-08-23,2860.29,2713910000,-0.1499,-0.0462,0.0257
30,2018-08-24,2862.3501,2596190000,0.3302,-0.0745,0.1709
31,2018-08-28,2901.45,2683190000,0.2113,0.0768,0.237
32,2018-08-29,2900.6201,2791860000,0.322,0.3222,-0.0195
33,2018-08-30,2908.9399,2802180000,0.0887,0.2693,-0.0576
